Nome;Categoria;Preço de Venda;Preço de Custo;Unidade
Pão Italiano Recheado com Gorgonzola;Dom Recheou um Pão Italiano;76,90;0;UN
Risoto Cremoso de Alcatra na Manteiga;Mais Pedidos;49,90;0;UN
Spaghetti Carbonara, Receita Romana;Mais Pedidos;42,90;0;UN
Fettuccine Alfredo Tradicional Romano;Mais Pedidos;37,90;0;UN
Penne à Bolonhesa com Vinho e Tomate Fresco;Mais Pedidos;37,90;0;UN
Fettuccine ao Pesto de Manjericão e Nozes;Massas do Dom;35,90;0;UN
Spaghetti Amatriciana Tomate Rústico e Bacon;Massas do Dom;39,90;0;UN
Penne Quatro Queijos Cremoso;Massas do Dom;35,90;0;UN
Fettuccine Cacio e Pepe Queijo e Pimenta;Massas do Dom;35,90;0;UN
Nhoque Ao Molho Vermelho;Monte seu Nhoque;28,90;0;UN
Nhoque Ao Molho Branco;Monte seu Nhoque;28,90;0;UN
Nhoque Ao Molho Rose;Monte seu Nhoque;28,90;0;UN
Risoto de Costela Desfiada com Tomate Cereja;Risotos Cremosos do Dom;47,90;0;UN
Risoto de Limão Siciliano, Bacon e Gorgonzola;Risotos Cremosos do Dom;42,90;0;UN
Risoto de Pesto da Casa com Linguiça Blumenau;Risotos Cremosos do Dom;42,90;0;UN
Risoto de Frango Desfiado com Caldo da Casa;Risotos Cremosos do Dom;39,90;0;UN
Risoto de Pinhão Tostado e Bacon Crocante;Risotos Cremosos do Dom;42,90;0;UN
Risoto de Picanha de Porco Agridoce;Risotos Cremosos do Dom;42,90;0;UN
Risoto de Funghi ao Vinho Branco;Risotos Cremosos do Dom;39,90;0;UN
Tiramissu - Whisky, Cacau, Queijo e café;Sobremesas Italianas;11,90;0;UN
Panna Cotta com Geleia de Morango;Sobremesas Italianas;9,90;0;UN
